num_walkers	Δτ	E_dmc	Error_E_dmc
50	0.001	10839.83230909462	0.23292405323115642
50	0.0001	10768.910254184117	0.7996022254038365
50	1.0e-5	10770.203593492915	3.1723930209379008
100	0.001	10838.757650870984	0.16581983755416327
100	0.0001	10766.918310526706	0.6035936414247942
100	1.0e-5	10759.13216176307	1.9406551270359484
200	0.001	10838.156423693648	0.11516753384653769
200	0.0001	10765.254022180303	0.42250132458536654
200	1.0e-5	10757.78118401538	1.1706459592637695
300	0.001	10837.925198287987	0.09317034830860645
300	0.0001	10766.48029268883	0.3891522295920963
300	1.0e-5	10758.551375420311	0.966822917630146
400	0.001	10838.056368823298	0.13749109239772458
400	0.0001	10766.76951725493	0.3073431492686448
400	1.0e-5	10760.373757187252	0.8268364129193906
500	0.001	10837.931366605799	0.07345780949045326
500	0.0001	10766.067656998068	0.26320338475719124
500	1.0e-5	10760.377163837213	0.6719438114880683
