num_walkers	Δτ	E_dmc	Error_E_dmc
200	0.001	10645.453065507163	0.13834617511886413
200	0.0009	10660.3384657557	0.1485427728760466
200	0.0008	10674.175364137072	0.15624141278256265
200	0.0007	10686.64536075909	0.16725280340075285
200	0.0006	10698.941313637542	0.18118032273291274
200	0.0005	10710.116041773705	0.20611660503635623
200	0.0004	10720.904522002236	0.22402160332867085
200	0.0003	10730.692184989404	0.2845437231973846
200	0.0002	10740.183951327044	0.32559419251541355
200	0.0001	10749.646070119046	0.5029951047066132
200	9.0e-5	10750.1576338229	0.49645115242951665
200	8.0e-5	10750.372959232804	0.4795238063178228
200	7.0e-5	10752.165316697712	0.533787171260882
200	6.0e-5	10753.452982068799	0.6064600973898054
200	4.0e-5	10754.874755106686	0.7284584346552923
200	3.0e-5	10756.65029165129	0.8185118878195754
200	2.0e-5	10754.187546436684	0.9289575493421293
200	1.0e-5	10761.696294867337	1.6554212010245961
