num_walkers	Δτ	E_dmc	Error_E_dmc
200	0.0004	50421.985443226884	0.5866428740683846
200	0.0003	50383.252857692125	0.6650611709178925
200	0.0002	50357.57377966723	0.8708893946063574
200	0.0001	50337.83631828402	1.5000197000285125
200	9.0e-5	50333.031702290595	1.5262735305742623
200	8.0e-5	50332.28049947019	1.6433747691688119
200	7.0e-5	50332.35121660509	1.8757672850280374
200	6.0e-5	50335.26343901659	1.9630528971318746
200	4.0e-5	50332.72446787694	2.7478336293392163
200	3.0e-5	50346.324183198296	3.373205701427041
200	2.0e-5	50342.14397274133	4.799198705541645
200	1.0e-5	50347.19194037713	8.461394774268479
