num_walkers	Δτ	E_dmc	Error_E_dmc
10	5.0e-5	10772.84161952606	2.4336442016996083
50	5.0e-5	10760.133219016016	1.1765290050214119
100	5.0e-5	10758.566918007667	1.021216207831244
200	5.0e-5	10757.31301216368	0.5853712321565362
300	5.0e-5	10757.921104792298	0.48475675470750107
400	5.0e-5	10757.341433358995	0.41045240709985176
500	5.0e-5	10756.776619682503	0.3755032832627996
750	5.0e-5	10757.822089857205	0.32273171046632065
1000	5.0e-5	10756.716007730523	0.3102327436308488
1500	5.0e-5	10757.374300295374	0.22112279124725484
2000	5.0e-5	10757.280071247878	0.1904343165629115
